Field1;photoID;photoTitle;photoUrl;photoAccur;photoTags;photoTagsC;photoComme;photoDateP;photoDateT;photoDescr;photoNotes;photoNot_1;photoMedia;photoMed_1;photoLicen;photoIsFam;photoIsFri;photoIsPri;photoLongi;photoLatit;userID;userName;userRealNa;userPhotoC;userPhotoF;userPhot_1;userLocati;userBuddyI;userIsPro;userIsAdmi;userContac;userPhotoS
1;7923488532;Quattro in the Sky;http://www.flickr.com/photos/micha_u/7923488532/;16;micha_u - Froschk?Ânig Photos - Canon EOS 60D - Canon EFS 10-22 - hdr - Berlin - Brandenburger Tor - Himmel - Sky - Wolken - Clouds - 2012 -;12;13;4 Sep 2012 14:45:34 GMT;1 Sep 2012 12:17:26 GMT;;;0;NA;NA;0;FALSE;FALSE;NA;13,377721;52,51626;56205589@N00;Froschk?Ânig Photos;;1742;22 Jan 2007 16:34:47 GMT;29 Jul 2004 18:16:33 GMT;;http://farm1.static.flickr.com/129/buddyicons/56205589@N00.jpg;TRUE;FALSE;248;96
2;7915556722;Berlin, Germany;http://www.flickr.com/photos/derdunn/7915556722/;16;Berlin - Berlin, Berlin - Brandenburger Tor - Brandenburg Gate - Currywurst - Germany - East - West -;8;0;2 Sep 2012 18:42:33 GMT;22 Jul 2012 16:45:28 GMT;Brandenburg Gate in Berlin, Germany.;;0;NA;NA;0;FALSE;FALSE;NA;13,378096;52,516304;7816500@N08;Der Dunn;;5114;25 Nov 2007 13:29:50 GMT;31 Jul 2005 11:54:25 GMT;;http://farm3.static.flickr.com/2490/buddyicons/7816500@N08.jpg;TRUE;FALSE;40;39
3;7856471118;Brandenburger Tor;http://www.flickr.com/photos/rinon/7856471118/;16;Berlino - Pariser Platz - Berlin - Germania - Germany - Unter den LInden - Tiergarten - Porta di Brandeburgo - Brandenburger Tor -;9;0;25 Aug 2012 12:09:24 GMT;14 Aug 2012 21:10:31 GMT;"Pariser Platz, 
Berlin, Germany";;0;NA;NA;0;FALSE;FALSE;NA;13,379545;52,51635;33206100@N04;Rinon.sb;;131;9 Dec 2008 12:08:34 GMT;6 Nov 2008 15:51:55 GMT;;http://farm4.static.flickr.com/3253/buddyicons/33206100@N04.jpg;FALSE;FALSE;20;2
4;7836254702;Brandenburg Gate;http://www.flickr.com/photos/hsdjie/7836254702/;16;berlin - brandenburg gate - brandenburger tor - pariser platz -;4;0;22 Aug 2012 05:48:54 GMT;15 May 2012 11:48:29 GMT;"Brandenburg Gate (Brandenburger Tor)
Berlin
Germany";;0;NA;NA;0;FALSE;FALSE;NA;13,377946;52,516376;33945396@N03;Harlani Salim;Harlani Salim;4001;3 Oct 2011 06:37:44 GMT;26 Jun 2008 13:00:56 GMT;Perth, Australia;http://farm8.static.flickr.com/7249/buddyicons/33945396@N03.jpg;TRUE;FALSE;15;90
5;7834354492;Reichstag;http://www.flickr.com/photos/jessefelsenheimer/7834354492/;16;Berlin - Reichtag - Brandenburger Tor - Siegess?ñule -;4;0;21 Aug 2012 23:00:58 GMT;18 Aug 2012 12:38:41 GMT;;;0;NA;NA;0;FALSE;FALSE;NA;13,376036;52,518696;76260714@N02;Jesse Felsenheimer;Jesse Felsenheimer;87;18 Mar 2012 23:52:21 GMT;31 Oct 2009 23:00:00 GMT;;http://farm9.static.flickr.com/8435/buddyicons/76260714@N02.jpg;FALSE;FALSE;6;4
6;7833948682;Legal and illegal vandalism;http://www.flickr.com/photos/38365223@N03/7833948682/;16;Berlin - 2012 - August - Sommer - Summer - Hochsommer - Hitze - Vandalismus - BVG - U-Bahn - gekratzte - Scheiben - Brandenburger Tor - Logo - bl?Âd - REKO - dumm - legal - illegal - scratching - inside - Kratzer - Gedr?ñngel - Stehplatz - Mitte - U2 - M;36;5;21 Aug 2012 21:40:21 GMT;20 Aug 2012 14:12:54 GMT;;;0;NA;NA;5;FALSE;FALSE;NA;13,410208;52,512367;38365223@N03;Steys;Sivi Steys;625;12 Apr 2010 15:19:35 GMT;30 Nov 1924 23:00:00 GMT;Planet Earth;http://farm4.static.flickr.com/3346/buddyicons/38365223@N03.jpg;TRUE;FALSE;300;26
7;7735851972;Brandenburg Gate;http://www.flickr.com/photos/dungodung/7735851972/;16;germany - berlin - brandenburggate - BrandenburgerTor -;4;0;7 Aug 2012 22:05:26 GMT;25 Mar 2011 20:03:35 GMT;Brandenburg Gate, central Berlin, night;;0;NA;NA;5;FALSE;FALSE;NA;13,378611;52,516384;16953270@N00;dungodung;Filip Maljkovi??;188;9 Aug 2005 20:49:38 GMT;28 Sep 2003 09:39:36 GMT;Pancevo, Serbia;http://farm1.static.flickr.com/98/buddyicons/16953270@N00.jpg;FALSE;FALSE;120;3
8;7735134118;Brandenburger Tor;http://www.flickr.com/photos/18208800@N03/7735134118/;16;guessedberlin - gwb Bergfels - berlin - gwb - brandenburger Tor -;5;2;7 Aug 2012 20:03:55 GMT;30 Nov 2010 23:00:00 GMT;"Guess Where Berlin (please read the rules!)
<a href=""http://www.flickr.com/photos/18208800@N03/sets/72157628209769537/with/6727106003/"">hier gibt's noch Gummi....</a>";;0;NA;NA;0;FALSE;FALSE;NA;13,377649;52,516285;18208800@N03;guckma;;2210;5 Nov 2007 22:02:01 GMT;31 Dec 2006 23:00:00 GMT;Sauerland, Germany;http://farm5.static.flickr.com/4142/buddyicons/18208800@N03.jpg;TRUE;FALSE;75;38
9;7717449080;the brain;http://www.flickr.com/photos/67534619@N02/7717449080/;16;Berlin - Little Planet - Frank Herrmann - Potsdamer Platz - Brandenburger Tor - Effekt - Bildbearbeitung - Gendarmenmarkt - Festival of LIghts - Planet - ausserirdisch - spacig - Eastgate -;13;1;5 Aug 2012 14:38:48 GMT;5 Aug 2012 14:22:35 GMT;"Humboldt Bibliotek Berlin

<b>Please don't use and don't link this images on websites, blogs or other media without my explicit permission.  ?®  <a href=""http://www.fhmedien.de"" rel=""nofollow"">www.fhmedien.de</a>.  All rights reserved.  

Also follow me";;0;NA;NA;0;FALSE;FALSE;NA;13,39111;52,520397;67534619@N02;FH | Photography;;8805;14 Sep 2011 18:45:15 GMT;31 Oct 2004 13:56:08 GMT;Berlin, Germany;http://farm7.static.flickr.com/6203/buddyicons/67534619@N02.jpg;TRUE;FALSE;162;118
10;7692629578;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692629578/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:11:30 GMT;1 Aug 2012 12:34:35 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
11;7692628174;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692628174/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:11:15 GMT;1 Aug 2012 12:34:00 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
12;7692626854;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692626854/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:11:01 GMT;1 Aug 2012 12:33:52 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
13;7692633130;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692633130/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:12:05 GMT;1 Aug 2012 12:35:00 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
14;7657238514;Dagens foto - 293: Some Die Young;http://www.flickr.com/photos/petertandlund/7657238514/;16;293/365 - laleh - holocaust memorial - black and white - street photography - bw - bnw - balloon - stone - brandenburger tor - 365 - city - people - square - berlin - germany - woman -;17;5;27 Jul 2012 17:07:38 GMT;27 Jul 2012 17:07:38 GMT;"Posted from <a href=""http://petertandlund.posterous.com/dagens-foto-293-some-die-young"" rel=""nofollow"">peters posterous</a>";;0;NA;NA;3;FALSE;FALSE;NA;13,378472;52,513924;48736986@N05;petertandlund;Peter Tandlund;717;27 Mar 2010 17:34:48 GMT;27 Mar 2010 09:34:48 GMT;Stockholm, Sweden;http://farm5.static.flickr.com/4023/buddyicons/48736986@N05.jpg;TRUE;FALSE;302;14
15;7608191536;Berlin, Brandenburger Tor, Platz des 18. M?ñrz [Explored];http://www.flickr.com/photos/larandy/7608191536/;16;adengs - wwwphotofreaksws - shopphotofreaksws - berlin - brandenburger tor - platz des 18. m?ñrz - explored Jul 19, 2012 -;7;7;20 Jul 2012 07:37:03 GMT;5 Feb 2012 11:03:57 GMT;"<a href=""http://berlin.barwick.de/sights/local/platz-des-18-maerz.html"" rel=""nofollow"">berlin.barwick.de/sights/local/platz-des-18-maerz.html<

Please <b>push &quot;F&quot; key</b> on your keybord. Thank you!

Andreas's <b><a href=""http://andysbestof.pho";;0;NA;NA;0;FALSE;FALSE;NA;13,377528;52,516285;39920793@N07;Photofreaks (9.9.-12.9.Vienna,13.9.-16.9.Hamburg);;2296;28 Jun 2009 20:14:17 GMT;23 Jun 30 10:27:22 GMT;;http://farm4.static.flickr.com/3476/buddyicons/39920793@N07.jpg;TRUE;FALSE;111;47
